Kód ADM;Kód obce;Název obce;Kód MOMC;Název MOMC;Kód obvodu Prahy;Název obvodu Prahy;Kód èásti obce;Název èásti obce;Kód ulice;Název ulice;Typ SO;Èíslo domovní;Èíslo orientaèní;Znak èísla orientaèního;PSÈ;Souøadnice Y;Souøadnice X;Platí Od
22422455;554782;Praha;547361;Praha 14;94;Praha 9;490059;Hloubìtín;454508.0;Liblická;è.p.;293;7.0;;19800;734122.79;1042273.16;2017-06-29T00:00:00
22422480;554782;Praha;547361;Praha 14;94;Praha 9;490059;Hloubìtín;477354.0;Vaòkova;è.p.;296;11.0;;19800;734153.22;1042345.59;2017-06-29T00:00:00
22422641;554782;Praha;547361;Praha 14;94;Praha 9;490059;Hloubìtín;471640.0;Štolmíøská;è.p.;314;7.0;;19800;733955.54;1042272.88;2017-06-29T00:00:00
22423125;554782;Praha;547361;Praha 14;94;Praha 9;490059;Hloubìtín;482765.0;Za èernım mostem;è.p.;362;3.0;;19800;732936.72;1041901.47;2017-06-14T00:00:00
22423133;554782;Praha;547361;Praha 14;94;Praha 9;490059;Hloubìtín;454770.0;Litošická;è.p.;363;1.0;;19800;734475.91;1042732.91;2017-06-29T00:00:00
22423389;554782;Praha;547361;Praha 14;94;Praha 9;490059;Hloubìtín;506681.0;Nad Hutìmi;è.p.;391;;;19800;733121.46;1041587.03;2017-06-29T00:00:00
22423401;554782;Praha;547361;Praha 14;94;Praha 9;490059;Hloubìtín;506486.0;Kardašovská;è.p.;393;1.0;;19800;733662.5;1042145.23;2017-06-29T00:00:00
22423702;554782;Praha;547361;Praha 14;94;Praha 9;490059;Hloubìtín;470805.0;Svépravická;è.p.;423;2.0;;19800;734410.7;1042525.59;2017-06-29T00:00:00
22424059;554782;Praha;547361;Praha 14;94;Praha 9;490059;Hloubìtín;466191.0;Poøíèanská;è.p.;462;5.0;;19800;733786.32;1042252.45;2017-06-29T00:00:00
22424288;554782;Praha;547361;Praha 14;94;Praha 9;490059;Hloubìtín;469858.0;Soustrunická;è.p.;486;3.0;;19800;734359.4;1042170.35;2017-06-14T00:00:00
22424342;554782;Praha;547361;Praha 14;94;Praha 9;490059;Hloubìtín;506516.0;Krylovecká;è.p.;491;6.0;;19800;733677.62;1042181.21;2018-08-15T00:00:00
22424377;554782;Praha;547361;Praha 14;94;Praha 9;490059;Hloubìtín;469343.0;Slévaèská;è.p.;494;3.0;;19800;733675.54;1042235.63;2017-06-29T00:00:00
22425063;554782;Praha;547361;Praha 14;94;Praha 9;490059;Hloubìtín;446891.0;Kolbenova;è.p.;568;29.0;;19800;733907.73;1041793.94;2014-05-13T00:00:00
22425314;554782;Praha;500216;Praha 9;94;Praha 9;490059;Hloubìtín;444545.0;Celnièní;è.p.;595;32.0;;19800;735045.01;1043180.33;2017-06-29T00:00:00
22425365;554782;Praha;500216;Praha 9;94;Praha 9;490059;Hloubìtín;461831.0;Nademlejnská;è.p.;600;1.0;;19800;735028.51;1042463.23;2018-04-04T00:00:00
22425551;554782;Praha;547361;Praha 14;94;Praha 9;490059;Hloubìtín;458511.0;Na obrátce;è.p.;619;10.0;;19800;734850.73;1042024.3;2017-06-29T00:00:00
22425608;554782;Praha;547361;Praha 14;94;Praha 9;490059;Hloubìtín;449121.0;Chvalská;è.p.;624;6.0;;19800;734200.13;1042180.63;2017-06-29T00:00:00
22425926;554782;Praha;547361;Praha 14;94;Praha 9;490059;Hloubìtín;485870.0;Tøešòová;è.p.;656;25.0;;19800;734854.14;1043403.75;2017-06-29T00:00:00
22426264;554782;Praha;547361;Praha 14;94;Praha 9;490059;Hloubìtín;506711.0;Rochovská;è.p.;691;14.0;;19800;733463.91;1042223.53;2017-06-14T00:00:00
22426302;554782;Praha;547361;Praha 14;94;Praha 9;490059;Hloubìtín;485934.0;Morušová;è.p.;1092;2.0;a;19800;734330.66;1043109.02;2017-06-29T00:00:00
22426825;554782;Praha;547361;Praha 14;94;Praha 9;490059;Hloubìtín;485985.0;Kukelská;è.p.;748;5.0;;19800;733405.4;1042411.82;2017-06-29T00:00:00
22427171;554782;Praha;547361;Praha 14;94;Praha 9;490059;Hloubìtín;486001.0;Chvaletická;è.p.;917;1.0;;19800;733482.35;1042356.38;2017-06-14T00:00:00
22427392;554782;Praha;547361;Praha 14;94;Praha 9;490059;Hloubìtín;485861.0;Za horou;è.ev.;13;;;19800;734682.6;1043571.25;2017-06-29T00:00:00
22427490;554782;Praha;500216;Praha 9;94;Praha 9;490059;Hloubìtín;508586.0;Kdoulová;è.p.;1075;21.0;;19800;735131.3;1043398.86;2020-05-06T00:00:00
22427571;554782;Praha;547361;Praha 14;94;Praha 9;490059;Hloubìtín;463001.0;Okrajová;è.ev.;32;;;19800;734691.55;1043512.27;2017-06-29T00:00:00
22427597;554782;Praha;547361;Praha 14;94;Praha 9;490059;Hloubìtín;508560.0;Švestková;è.ev.;35;;;19800;734728.87;1043504.76;2018-10-29T00:00:00
22428208;554782;Praha;547361;Praha 14;94;Praha 9;490059;Hloubìtín;442747.0;Aloisovská;è.ev.;106;;;19800;734677.7;1043329.04;2017-06-29T00:00:00
22428488;554782;Praha;547361;Praha 14;94;Praha 9;490059;Hloubìtín;449636.0;Jednostranná;è.p.;1151;24.0;;19800;734709.7;1043250.59;2021-04-21T00:00:00
22428810;554782;Praha;500216;Praha 9;94;Praha 9;490059;Hloubìtín;485918.0;Jívová;è.ev.;176;;;19000;735398.89;1043088.19;2017-06-29T00:00:00
22428941;554782;Praha;500216;Praha 9;94;Praha 9;490059;Hloubìtín;485888.0;Mandloòová;è.ev.;191;;;19000;735391.11;1043136.85;2017-06-29T00:00:00
22428984;554782;Praha;500216;Praha 9;94;Praha 9;490059;Hloubìtín;485748.0;Smrková;è.ev.;196;;;19000;735340.12;1043166.14;2017-06-29T00:00:00
22429000;554782;Praha;500216;Praha 9;94;Praha 9;490059;Hloubìtín;485900.0;Klenová;è.ev.;198;;;19000;735308.85;1043131.92;2017-06-29T00:00:00
22429026;554782;Praha;500216;Praha 9;94;Praha 9;490059;Hloubìtín;485896.0;Jasanová;è.ev.;200;;;19000;735347.52;1043139.69;2019-09-02T00:00:00
22429085;554782;Praha;500216;Praha 9;94;Praha 9;490059;Hloubìtín;485926.0;Lísková;è.ev.;206;;;19800;735282.28;1042916.39;2019-10-14T00:00:00
22429140;554782;Praha;500216;Praha 9;94;Praha 9;490059;Hloubìtín;484407.0;Èelákovická;è.ev.;214;;;19800;734984.89;1043055.74;2019-10-14T00:00:00
22429158;554782;Praha;500216;Praha 9;94;Praha 9;490059;Hloubìtín;466077.0;Pokorného;è.ev.;215;;;19800;735094.01;1043171.04;2017-06-29T00:00:00
22429638;554782;Praha;538213;Praha 20;94;Praha 9;43770;Horní Poèernice;493490.0;Ve líbku;è.p.;1;13.0;;19300;727866.03;1041904.35;2017-06-14T00:00:00
22429654;554782;Praha;538213;Praha 20;94;Praha 9;43770;Horní Poèernice;493970.0;Tøebešovská;è.p.;3;112.0;;19300;727817.15;1041857.26;2017-06-23T00:00:00
